ID;Systeem;Subthema;Categorie;Onderwerp;Omschrijving melding;Toelichting melding;Soort melding;Antwoord of oplossing
1;DocBase / Exact;Samenvoegen administraties;Inleiding;Wat is het doel van het document Samenvoegen van administraties?;Doel van samenvoegen van administraties;;Instructie;"Dit document is bedoeld voor de parochies en beschrijft de samenvoeging van de verschillende type administraties naar één centrale administratie in DocBase en Exact Online. Indien een parochie de administraties wil laten samenvoegen, kan dat aangevraagd worden door het aanvraagformulier in te sturen, zie verderop in dit document. 

De voorbereiding die de administrateurs van de parochie moeten doen, wordt verderop in dit document beschreven. Het is belangrijk dat deze voorbereidingen zijn afgerond voordat de samenvoeging wordt uitgevoerd. 

Er is een mogelijkheid voor de centrale administraties:
a. Centrale administratie met gebruik van kostenplaatsen ten behoeve van de kerkbijdrageadministratie.

LET OP!
In dit document worden een aantal scenario’s beschreven. Andere combinaties van samen te voegen administraties is mogelijk, maar kan maatwerk vragen waarbij extra kosten in rekening gebracht kunnen worden. De helpdesk bekijkt dit zodra de aanvraag is ingestuurd en zal de contactpersoon binnen het Bisdom hiervan op de hoogte brengen waarna het met de contactpersoon van de parochie wordt besproken."
2;DocBase / Exact;Samenvoegen administraties;Centrale administratie;Wat zijn de kenmerken van een centrale administratie met kostenplaatsen?;Kenmerken centrale administratie met kostenplaatsen;;Instructie;"Er is in DocBase één administratie. Alle DocBase administrateurs hebben een inlogcode die begint met “P” gevolgd door het Kaskinummer van de fusieparochie, een deel van de naam van de gebruiker en een nummer.

De administratie wordt voor alle locaties volledig in deze administratie gevoerd (inloggen met P-code); dus ook de vrijwilligersadministratie, wijkindeling en grafbeheer.

De administrateur kan op basis van de locaties en/of voorkeurlocaties, selecties samenstellen voor het beschikbaar krijgen van informatie voor haar/zijn werkgebied (locatie). Denk hierbij aan het verwerken van SILA-mutaties, aanmaken van looplijsten, beheer van kerkbijdrageadministratie, begraafplaatsadministratie et cetera (afhankelijk van de rechten die een administrateur heeft). Deze selecties kunnen opgeslagen worden in mijn zoekopdrachten (zie voor verdere uitleg het document “Veel gestelde vragen DocBase”). Voor het maken van een opgeslagen zoekopdracht voor SILAa-mutaties per locatie is een aparte instructie beschikbaar. U ontvangt deze na de samenvoeging van de Helpdesk.

Er is één Exact Online administratie. Hierin wordt gewerkt met kostenplaatsen per locatie en, voor automatische incasso’s met betaalcondities per locatie. (Het kan wel zo zijn dat er voor alle locaties op één centrale bankrekening wordt geïncasseerd.) 

Bij aanvraag van de samenvoeging kunnen benodigde gegevens worden opgegeven."
3;DocBase / Exact;Samenvoegen administraties;Hybride administratie;Wat zijn de kenmerken van een hybride administratie?;Kenmerken hybride administratie;;FAQ;"De meest belangrijke kenmerken zijn:
- Iedere locatie heeft een eigen administratie in DocBase; inlogcode begint met een “L”.
- De fusieparochie heeft in DocBase een “overzichtsadministratie” voor het raadplegen van informatie en mist locatie specifieke gegevens; bijvoorbeeld vrijwilligersinformatie en wijkindeling; inlogcodes beginnen met een “P”.
- De administratie moet gevoerd worden in de locatieadministraties (inloggen met L-code).
- Er is één Exact Online administratie. Hierin wordt gewerkt met kostenplaatsen per locatie en, voor automatische incasso’s, betaalcondities per locatie. (Het kan wel zo zijn dat er voor alle locaties op één centrale bankrekening wordt geïncasseerd.)

Zie voor meer details het document “Kenmerken van centrale - hybride - decentrale administraties”."
4;DocBase / Exact;Samenvoegen administraties;Hybride naar centraal;Wat verandert er in de Kaski-tabel bij hybride naar centraal?;Kaski bij hybride naar centraal;;FAQ;"Centrale administratie met kostenplaatsen:
De Kaski tabel, voor het toekennen van adressen aan parochies, wordt niet aangepast; Postcodes verdeeld naar locaties, locaties toegewezen aan de fusieparochie."
5;Exact;Samenvoegen administraties;Hybride naar centraal;Wat verandert er in Exact Online bij hybride naar centraal?;Exact Online bij hybride naar centraal;;FAQ;"Centrale administratie met kostenplaatsen:
In Exact Online verandert er helemaal niets."
6;DocBase;Samenvoegen administraties;Hybride naar centraal;Wat gebeurt er met de inlogcodes bij hybride naar centraal?;Inloggen bij hybride naar centraal;;FAQ;"Alle gebruikers krijgen een P-code; de L-codes komen te vervallen."
7;DocBase;Samenvoegen administraties;Hybride naar centraal;Wat gebeurt er met de ledenadministratie bij hybride naar centraal?;Ledenadministratie bij hybride naar centraal;;FAQ;"Wijkgegevens:
Op basis van de aangepaste tabel 07. Bezorging – wijkgegevens, worden de wijkgegevens op de ledenkaart opnieuw toegekend (zie ook hieronder).

Geografische locatie:
Centrale administratie met kostenplaatsen:
Er verandert niets in de aanwijzing van geografische locaties en voorkeur locaties."
8;DocBase;Samenvoegen administraties;Hybride naar centraal;Hoe worden wijkgegevens omgezet bij hybride naar centraal?;Wijkgegevens bij hybride naar centraal;;FAQ;"Wijkgegevens (07. Bezorging – wijkgegevens) worden omgezet van de L-administratie naar de P-administratie.

Het kan zijn dat locaties in de hybride administratie voor de wijkindeling dezelfde namen, codes en/of nummers gebruiken. Om bij het samenvoegen van de administraties te voorkomen dat wijken, bezorgwijken of secties met dezelfde naam worden samengevoegd, wordt het Kaskinummer van de locatie geplaatst voor de
a. Wijknaam
b. Wijkcode
c. Wijknummer
d. Bezorgwijk
e. Wijksectie"
9;DocBase;Samenvoegen administraties;Hybride naar centraal;Hoe worden vrijwilligers en werkgroepen omgezet bij hybride naar centraal?;Vrijwilligers en werkgroepen bij hybride naar centraal;;FAQ;"Werkgroep gegevens worden omgezet van de L-administratie naar de P-administratie.

Het kan zijn dat locaties in de hybride administratie voor de werkgroepen dezelfde “Werkgroepen” (namen) en/of “Werkgroepcodes” gebruiken. Om bij het samenvoegen van de administraties te voorkomen dat werkgroepen met dezelfde naam worden samengevoegd, wordt het Kaskinummer van de locatie geplaatst voor de
a. Werkgroep
b. Werkgroepcode"
10;DocBase;Samenvoegen administraties;Hybride naar centraal;Wat gebeurt er met abonnementen bij hybride naar centraal?;Abonnementen bij hybride naar centraal;;FAQ;"Abonnementen worden na de samenvoeging van de administraties beheerd nadat met een P-account is ingelogd, dus niet meer met L-account (L-accounts zijn ook niet meer beschikbaar).

Centrale administratie met kostenplaatsen:
Er verandert niets aan de abonnementen.

Bij het aanmaken van een nieuw abonnement dient te worden opgegeven voor welke locatie het abonnement wordt aangemaakt!!! Hierbij kan alleen gekozen worden uit de locaties die bij de betreffende parochie horen."
