ID;Systeem;Subthema;Categorie;Onderwerp;Omschrijving melding;Toelichting melding;Soort melding;Antwoord of oplossing
1;DocBase;MIJN WERKPLEK;Mijn Zoekopdrachten;Opslaan van een zoekopdracht zodat deze later kan worden gebuikt.;Opslaan van een zoekopdracht zodat deze later kan worden gebuikt.;Pagina 7;FAQ;- Stel via “zoek en vind” de zoekopdracht samen - Klik op “Overige functies” en selecteer “opslaan zoekopdracht” - Geef bij de omschrijving een duidelijk naam op. Zorg ervoor dat u uit de naam duidelijk kunt herleiden welke criteria u voor de zoekopdracht heeft gebruikt. Let goed op de vinkjes boven in het invulscherm. Via deze vinkjes geeft u aan of u email berichten wilt ontvangen indien een opgeslagen zoekopdracht een nieuw of gewijzigd resultaat geeft. Wilt u dat niet, zorg ervoor dat er geen vinkjes staan.
2;DocBase;MIJN WERKPLEK;Mijn Zoekopdrachten;Overzicht opgeslagen zoekopdrachten;Overzicht opgeslagen zoekopdrachten;Pagina 7;FAQ;Een overzicht van opgeslagen zoekopdrachten vindt u onder het kopje ‘Mijn werkplek’. Klik vervolgens op het +teken voor ‘Mijn zoekopdrachten’
3;DocBase;MIJN WERKPLEK;Mijn Zoekopdrachten;Zoekopdracht weergeven als tabblad;Zoekopdracht weergeven als tabblad;Pagina 8;FAQ;Een opgeslagen zoekopdracht kan worden weergegeven als tabblad door bij de opgeslagen zoekopdracht een vinkje te zetten bij ‘Toon als tabblad’ Wanneer u vervolgens de bijbehorende tabel opent, wordt naast de standaard lijstweergave een extra tab getoond, deze laat direct de uitvoer van de zoekopdracht zien. Heeft u meerdere opgeslagen zoekopdrachten die u direct beschikbaar wilt hebben bij de bijbehorende tabel, maar wilt u deze niet ieder afzonderlijk in een tabblad weergeven, zet dan een vinkje bij ‘Toon in Combo’. Er wordt nu één tabblad getoond met de naam ‘Overige zoekprofielen’, daarin kunt u dan een keuze maken.
4;DocBase;MIJN WERKPLEK;Mijn Zoekopdrachten;Zoekopdracht bewerken;Zoekopdracht bewerken;Pagina 8;FAQ;Zoekopdrachten welke zijn aangemaakt vanaf Docbase versie 8g3 (april 2021) kunnen achteraf worden bewerkt. Wanneer een opgeslagen zoekopdracht wordt bewerkt, worden de filterwaarden getoond en kunnen deze worden aangepast.
5;DocBase;DOSSIERS;01. Instructies;- Komen er nog meer filmpjes? Zo ja, welke?;- Komen er nog meer filmpjes? Zo ja, welke?;Pagina 9;FAQ;Niet gepland. Over enige tijd (nadat alle parochies zijn gemigreerd) zal er een evaluatie plaatsvinden om filmpjes waar nodig bij te schaven en eventueel toe te voegen.
6;DocBase;DOSSIERS;01. Instructies;- Komt er ook toch nog iets op papier te staan?;- Komt er ook toch nog iets op papier te staan?;Pagina 9;FAQ;De tekst die in de filmpjes wort uitgesproken is beschikbaar in DocBase – instructies. Daar vindt u ook overige DocBase gerelateerde documentatie. Exact Online gerelateerde documentatie vindt u op www.rkk-online.nl – sectie documenten.
7;DocBase;DOSSIERS;02. Helpdesk overzicht tickets Parochies;Aanmaken ticket in DocBase;Aanmaken ticket in DocBase;Pagina 9;FAQ;Voor het stellen van vragen en melden van problemen, kan in DocBase een ticket worden aangemaakt. 1. Open onder Documenten: 02. Helpdesk Tickets (1). 2. Klik op “nieuw” (2) 3. Waar mogelijk, maak scherm kopieën van de schermen waarin u het probleem constateert. Voeg deze scherm kopieën en eventuele extra informatie die zinvol is om het probleem ui te leggen in een document en voeg dat aan het ticket toe: a. Klik op het gele “folder” teken (4) b. Selecteer het betreffende bestand en klik op OK 4. Wordt er geen bijlage toegevoegd, zorg er dan voor dat in het veld ”Documentformaat” staat “Geen bijlage” (3) 5. Geef bij “Omschrijving melding” en korte omschrijving van het probleem of de vraag.
8;DocBase;DOSSIERS;5;5;5;Pagina 10;FAQ;"6. In het veld “toelichting melding” dient de uitgebreide beschrijving van het probleem/vraag ingevuld te worden. Vermeld zoveel als mogelijk relevante informatie; geef een lidnummer op (Rel-ID van de ledenkaart) om een voorbeeld te geven van een lid waar de fout is geconstateerd. Indien u niet de gehele werkdag aanwezig bent, neem dat dan op in het veld “toelichting”. De helpdesk medewerker kan daar dan rekening mee houden als hij/zij telefonisch contact op wil nemen, 7. Selecteer de juiste categorie. 8. Zorg ervoor dat het veld “parochienummer” het juiste Kaski nummer bevat. Als u na het invullen van het Kaski nummer de “Tabtoets” indrukt wordt automatisch de naam van de parochie ingevuld. 9. Vul naam, telefoonnummer en email adres in 10. Selecteer de juiste gegevens in het veld “Soort Melding”. 11. In het geval u meerdere tickets zou willen aanmaken, kunt u boven in het scherm een vinkje plaatsen in het veld “Gegevens vasthouden” (5). 12. Klik op OK."
9;DocBase;DOSSIERS;5;Melding “U heeft geen bestand geselecteerd” bij het invoeren van een ticket;Melding “U heeft geen bestand geselecteerd” bij het invoeren van een ticket;Pagina 11;FAQ;Zorg ervoor dat in het veld “Document formaat” geselecteerd wordt “Geen bijlage” (staat ergens midden in de lijst van selecties).
10;DocBase;DOSSIERS;5;Hoe krijg ik een melding als er een antwoord op een ticket is?;Hoe krijg ik een melding als er een antwoord op een ticket is?;Pagina 11;FAQ;- Open 02. Helpdesk ticket in de sectie Documenten - Klik rechts in het scherm op “Overige functies” en selecteer “opslaan zoekopdracht” - Geef bij de omschrijving een duidelijk naam op. - Indien u per email van wijzigingen op de hoogte gehouden wilt worden, kunt u 1 of meer vinkjes zetten in de vakjes waarbij de omschrijving begint met “houd mij op de hoogte”. U krijgt dan de dag nadat het ticket is gewijzigd per email een bericht. - Indien u dat niet wenst, zorgt u ervoor dat er geen vinkjes staan. Voor deze zoekfunctie is het aan te raden per mail op de hoogte gehouden te worden zodat u geïnformeerd wordt zodra er een aanpassing in het ticket is gedaan.
11;DocBase;DOSSIERS;5;Heropenen van een afgehandeld ticket;Heropenen van een afgehandeld ticket;Pagina 12;FAQ;"Indien het antwoord op een ticket uw probleem niet oplost. Kunt u een ticket als volgt heropenen: 1. Open in DocBase 02. Helpdesk overzicht tickets Parochies 2. Klik op de blauwe link 3. Open het tabblad “Wacht op info” 4. Selecteer het betreffende ticket; het vierkantje links van het ticketnummer aanklikken/aanvinken 5. Klik op “Retour behandelaar”"
