ID;Systeem;Subthema;Categorie;Onderwerp;Omschrijving melding;Toelichting melding;Soort melding;Antwoord of oplossing
DOC-0001;DocBase;Voorwerk;Leeswijzer;Leeswijzer – zo gebruikt u deze handleiding;Hoe werkt / wat betekent: Leeswijzer – zo gebruikt u deze handleiding?;Deze handleiding is bewust niet alleen als lang naslagwerk opgezet. De meeste gebruikers willen snel;Leeswijzer;"Deze handleiding is bewust niet alleen als lang naslagwerk opgezet. De meeste gebruikers willen snel
weten waar zij moeten klikken en wanneer zij moeten stoppen. Daarom begint v1.8 met een
menugestuurde ingang.
• Wilt u snel iets doen? Begin bij Voorstuk A.
• Zoekt u een onderdeel dat u links in DocBase ziet? Gebruik Voorstuk B.
• Weet u alleen wat u wilt doen, maar niet waar het staat? Gebruik Voorstuk C.
• Wilt u precies begrijpen waarom iets zo werkt? Gebruik daarna de uitgebreide delen 1 t/m 21.
• Wilt u oefenen of een tickettekst kopiëren? Gebruik de bijlagen achterin.
Eenvoudige hoofdregel
• Bij twijfel niet zelf herstellen, maar een goed ticket maken.

Bron: Handleiding DocBase v1.8b, PDF-pagina 46."
DOC-0002;DocBase;Voorstuk A – Snel aan de slag voor vrijwilligers;Paragraaf;A.1 De vijf gouden regels;Hoe werkt / wat betekent: De vijf gouden regels?;• Controleer altijd of u de juiste persoon heeft geopend.;Paragraaf;"• Controleer altijd of u de juiste persoon heeft geopend.
• Maak niet zomaar een nieuwe relatie aan.
• Verwijder nooit zelf personen, kerkelijke gegevens, abonnementen of grafgegevens.
• Gebruik geen oude lijsten zonder controle.
• Komt u er niet uit? Maak een ticket met duidelijke gegevens.

Bron: Handleiding DocBase v1.8b, PDF-pagina 47."
DOC-0003;DocBase;Voorstuk A – Snel aan de slag voor vrijwilligers;Paragraaf;A.2 Wat mag u meestal zelf doen?;Hoe werkt / wat betekent: Wat mag u meestal zelf doen??;• Een persoon of huishouden opzoeken.;Paragraaf;"• Een persoon of huishouden opzoeken.
• Een ledenkaart controleren.
• Een eigen zoekopdracht terugvinden.
• Een looplijst controleren wanneer u daarvoor bevoegd bent.
• Een ticket maken met duidelijke uitleg.
• Een bijlage toevoegen wanneer dat nodig is.

Bron: Handleiding DocBase v1.8b, PDF-pagina 47."
DOC-0004;DocBase;Voorstuk A – Snel aan de slag voor vrijwilligers;Paragraaf;A.3 Wat meldt u liever via een ticket?;Hoe werkt / wat betekent: Wat meldt u liever via een ticket??;• Dubbele personen of dubbele debiteuren.;Paragraaf;"• Dubbele personen of dubbele debiteuren.
• Overlijden met gevolgen voor partner, kerkbijdrage, vrijwilligers of grafbeheer.
• Kerkverlating of administratieve uitschrijving.
• SILA-mutaties die niet logisch zijn.
• Kerkbijdrage, abonnementen, incasso of Actie vereist.
• Grafbeheer, rechthebbenden, belanghebbenden of ruimingsdata.
• Samenvoegingen, oude codes, locatieproblemen of rapportages die niet kloppen.

Bron: Handleiding DocBase v1.8b, PDF-pagina 47."
DOC-0005;DocBase;Voorstuk A – Snel aan de slag voor vrijwilligers;Paragraaf;A.4 De zes snelste taakkaarten;Hoe werkt / wat betekent: De zes snelste taakkaarten?;Structuuronderdeel uit de handleiding: A.4 De zes snelste taakkaarten;Paragraaf;"Zie het onderdeel 'A.4 De zes snelste taakkaarten' in de handleiding.

Bron: Handleiding DocBase v1.8b, PDF-pagina 47."
DOC-0006;DocBase;Voorstuk A – Snel aan de slag voor vrijwilligers;Taakkaart;Taakkaart 1 – Persoon zoeken;Hoe voert u deze taak uit: Taakkaart 1 – Persoon zoeken?;Waarvoor gebruikt u dit? Om snel en veilig de juiste relatie of ledenkaart te vinden.;Taakkaart;"Waarvoor gebruikt u dit? Om snel en veilig de juiste relatie of ledenkaart te vinden.
Stappen
1. Ga naar Relaties.
2. Kies 01. Ledenadministratie.
3. Zoek op achternaam.
4. Gebruik bij twijfel ook geboortedatum, adres, postcode of partner.
5. Open pas de kaart wanneer u zeker weet dat het de juiste persoon is.
Controle
• Naam klopt.
• Geboortedatum of adres klopt.
• Er zijn geen duidelijke dubbele personen.
• Bij twijfel maakt u een ticket.
Niet doen
• Niet alleen op achternaam vertrouwen.
• Niet direct een nieuwe relatie maken.
• Niet de eerste de beste kaart wijzigen.

Bron: Handleiding DocBase v1.8b, PDF-pagina 47."
DOC-0007;DocBase;Voorstuk A – Snel aan de slag voor vrijwilligers;Taakkaart;Taakkaart 2 – Ledenkaart controleren;Hoe voert u deze taak uit: Taakkaart 2 – Ledenkaart controleren?;Waarvoor gebruikt u dit? Om te zien of basisgegevens logisch zijn.;Taakkaart;"Waarvoor gebruikt u dit? Om te zien of basisgegevens logisch zijn.
Stappen
6. Open de ledenkaart.
7. Controleer naam, geboortedatum en adres.
8. Controleer huishouden en partner.
9. Controleer status en eventuele bijzondere gegevens.
10. Controleer gekoppelde onderdelen wanneer dat nodig is.
Controle
• Persoon klopt.
• Huishouden klopt logisch.
• Adres is actueel.
• Bij twijfel ticket.
Niet doen
• Geen gegevens overschrijven zonder bron.
• Geen personen verwijderen.
• Geen kerkelijke status wijzigen op gevoel.

Bron: Handleiding DocBase v1.8b, PDF-pagina 48."
DOC-0008;DocBase;Voorstuk A – Snel aan de slag voor vrijwilligers;Taakkaart;Taakkaart 3 – Ticket maken;Hoe voert u deze taak uit: Taakkaart 3 – Ticket maken?;Waarvoor gebruikt u dit? Om hulp te vragen zonder dat gegevens fout worden aangepast.;Taakkaart;"Waarvoor gebruikt u dit? Om hulp te vragen zonder dat gegevens fout worden aangepast.
Stappen
11. Ga naar Documenten.
12. Kies 02. Helpdesk tickets.
13. Maak een nieuw ticket.
14. Vul onderwerp en toelichting duidelijk in.
15. Vermeld administratie, Rel-ID of grafnummer wanneer relevant.
16. Voeg alleen een bijlage toe als dat echt helpt.
Controle
• Concrete vraag gesteld.
• Rel-ID of voorbeeld genoemd.
• Geen overbodige persoonsgegevens meegestuurd.
• Bijlage is nodig en passend.
Niet doen
• Geen ticket met alleen: klopt niet.
• Geen volledige ledenlijst meesturen.
• Geen losse privé-opmerkingen toevoegen.

Bron: Handleiding DocBase v1.8b, PDF-pagina 48."
DOC-0009;DocBase;Voorstuk A – Snel aan de slag voor vrijwilligers;Taakkaart;Taakkaart 4 – Bijlage toevoegen aan ticket;Hoe voert u deze taak uit: Taakkaart 4 – Bijlage toevoegen aan ticket?;Waarvoor gebruikt u dit? Om een foutmelding of voorbeeld te verduidelijken.;Taakkaart;"Waarvoor gebruikt u dit? Om een foutmelding of voorbeeld te verduidelijken.
Stappen
17. Open het ticket.
18. Kies bijlage toevoegen.
19. Voeg alleen het noodzakelijke bestand toe.
20. Controleer of de bijlage bij het ticket hoort.
21. Kies Geen bijlage wanneer er geen bijlage nodig is.
Controle
• Bijlage hoort bij de vraag.
• Er staan niet meer gegevens in dan nodig.
• Bestand is leesbaar.
Niet doen
• Geen complete exports meesturen als één voorbeeld genoeg is.
• Geen privébestanden meesturen.
• Geen oude lijsten meesturen zonder uitleg.

Bron: Handleiding DocBase v1.8b, PDF-pagina 49."
DOC-0010;DocBase;Voorstuk A – Snel aan de slag voor vrijwilligers;Taakkaart;Taakkaart 5 – Zoekopdracht terugvinden;Hoe voert u deze taak uit: Taakkaart 5 – Zoekopdracht terugvinden?;Waarvoor gebruikt u dit? Om eerder opgeslagen lijsten of overzichten te gebruiken.;Taakkaart;"Waarvoor gebruikt u dit? Om eerder opgeslagen lijsten of overzichten te gebruiken.
Stappen
22. Ga naar Mijn werkplek of het onderdeel waar de zoekopdracht is opgeslagen.
23. Open de opgeslagen zoekopdracht.
24. Controleer of de selectie nog actueel is.
25. Controleer vooral na samenvoeging of oude codes niet meer gebruikt worden.
Controle
• Juiste administratie.
• Juiste locatie.
• Juiste datum of periode.
• Geen oude L-code wanneer die niet meer leidend is.
Niet doen
• Geen oude zoekopdracht blind gebruiken.
• Geen oude looplijst hergebruiken.
• Geen lijst exporteren zonder doel.

Bron: Handleiding DocBase v1.8b, PDF-pagina 49."
